run_name,stage,dataset,model_name,config_version,eval_proto_version,seed,split_role,metric_name,metric_value,best_selector,threshold_source,threshold_value,boundary_metric_width,boundary_metric_impl,connected_components_impl,connected_components_connectivity,result_tag,aggregation,n_samples,metric_crosscheck_result
D1_R34UNet_Boundary_GlaS_seed3407,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,3407,testA,F1,0.777928,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed3407,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,3407,testA,Object Dice,0.832938,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed3407,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,3407,testA,Object Hausdorff,71.187057,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed3407,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,3407,testA,Dice,0.916133,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed3407,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,3407,testA,IoU,0.851787,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed3407,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,3407,testA,HD95,33.579219,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed3407,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,3407,testA,Boundary F1,0.762933,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed3407,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,3407,testB,F1,0.726145,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed3407,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,3407,testB,Object Dice,0.834624,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed3407,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,3407,testB,Object Hausdorff,98.114094,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed3407,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,3407,testB,Dice,0.920104,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed3407,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,3407,testB,IoU,0.859167,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed3407,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,3407,testB,HD95,27.428105,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed3407,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,3407,testB,Boundary F1,0.707440,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed1234,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,1234,testA,F1,0.790564,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed1234,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,1234,testA,Object Dice,0.847117,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed1234,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,1234,testA,Object Hausdorff,64.555591,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed1234,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,1234,testA,Dice,0.921756,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed1234,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,1234,testA,IoU,0.860269,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed1234,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,1234,testA,HD95,33.113328,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed1234,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,1234,testA,Boundary F1,0.770034,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed1234,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,1234,testB,F1,0.735259,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed1234,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,1234,testB,Object Dice,0.850691,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed1234,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,1234,testB,Object Hausdorff,86.406946,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed1234,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,1234,testB,Dice,0.923018,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed1234,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,1234,testB,IoU,0.865051,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed1234,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,1234,testB,HD95,27.426637,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed1234,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,1234,testB,Boundary F1,0.723412,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed2025,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,2025,testA,F1,0.747677,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed2025,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,2025,testA,Object Dice,0.833105,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed2025,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,2025,testA,Object Hausdorff,72.400852,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed2025,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,2025,testA,Dice,0.923431,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed2025,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,2025,testA,IoU,0.862426,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed2025,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,2025,testA,HD95,32.398513,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed2025,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,2025,testA,Boundary F1,0.764621,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,60,pass
D1_R34UNet_Boundary_GlaS_seed2025,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,2025,testB,F1,0.679535,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed2025,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,2025,testB,Object Dice,0.820578,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed2025,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,2025,testB,Object Hausdorff,100.267179,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed2025,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,2025,testB,Dice,0.918322,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed2025,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,2025,testB,IoU,0.856505,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed2025,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,2025,testB,HD95,27.074957,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
D1_R34UNet_Boundary_GlaS_seed2025,D1_Boundary,GlaS,resnet34_unet_boundary,boundary_v1,eval_proto_v1,2025,testB,Boundary F1,0.711182,val_objdice_max,val17,0.5,3,binary_erosion_xor_plus_binary_dilation,scipy.ndimage.label,8,formal_three_seed,single_seed,20,pass
