source_stage,source_manifest,source_protocol_version,source_run_name,consumer_stage,consumer_file,consumption_boundary,run_name,stage,dataset,model_name,seed,split_role,metric_name,metric_key,metric_value,sample_count,checkpoint_path,checkpoint_sha256,independent_metric_check_path,result_tag,aggregation,evidence_status
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testA,F1,f1,0.7701528514456251,60,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testA,Object Dice,objdice,0.8529445991431763,60,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testA,Object Hausdorff,object_hausdorff,59.97228617237169,60,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testA,Dice,dice,0.915615843192894,60,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testA,IoU,iou,0.851854287682668,60,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testA,HD95,hd95,31.98865834712981,60,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testA,Boundary F1,boundary_f1,0.7671826543069215,60,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testB,F1,f1,0.7309094818150546,20,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testB,Object Dice,objdice,0.8509274203377449,20,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testB,Object Hausdorff,object_hausdorff,82.9933188195697,20,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testB,Dice,dice,0.921399646318546,20,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testB,IoU,iou,0.8625357930339794,20,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testB,HD95,hd95,25.906810870170585,20,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed3407,D2_Distance,GlaS,resnet34_unet_distance,3407,testB,Boundary F1,boundary_f1,0.7219223670607018,20,experiments/D2_R34UNet_Distance_GlaS_seed3407/checkpoints/best.ckpt,4b07fe556d881303ed28f3b56187bb7dc47b6608a1b42ce92ca63978b3fe75fd,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed3407.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testA,F1,f1,0.7214907114386583,60,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testA,Object Dice,objdice,0.8080344212211816,60,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testA,Object Hausdorff,object_hausdorff,82.39250045049731,60,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testA,Dice,dice,0.910800779803045,60,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testA,IoU,iou,0.8450660202049128,60,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testA,HD95,hd95,32.80215909361837,60,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testA,Boundary F1,boundary_f1,0.7449741249121674,60,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testB,F1,f1,0.6695441307058954,20,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testB,Object Dice,objdice,0.8170878103917291,20,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testB,Object Hausdorff,object_hausdorff,98.86045188281086,20,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testB,Dice,dice,0.9019949843346806,20,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testB,IoU,iou,0.8327353921849072,20,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testB,HD95,hd95,31.968905696868894,20,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed1234,D2_Distance,GlaS,resnet34_unet_distance,1234,testB,Boundary F1,boundary_f1,0.6944923366807151,20,experiments/D2_R34UNet_Distance_GlaS_seed1234/checkpoints/best.ckpt,40f63e98d8f4700a46bfbf816706f4ae23a803c75b8cefab9a77f62876246ac6,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed1234.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testA,F1,f1,0.744299086778737,60,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testA,Object Dice,objdice,0.8180253640686928,60,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testA,Object Hausdorff,object_hausdorff,83.21937875849288,60,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testA,Dice,dice,0.9094581283170029,60,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testA,IoU,iou,0.8411606275435806,60,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testA,HD95,hd95,39.502018922964716,60,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testA,Boundary F1,boundary_f1,0.7569685093658918,60,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testB,F1,f1,0.7214786602286603,20,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testB,Object Dice,objdice,0.8295660218362964,20,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testB,Object Hausdorff,object_hausdorff,90.40675429510088,20,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testB,Dice,dice,0.9227721379016527,20,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testB,IoU,iou,0.8644049202066677,20,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testB,HD95,hd95,25.65455338001251,20,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
B1,reports/tables/baseline_stage_manifest.csv,eval_proto_v1,B1_ResNet34_UNet_GlaS_seed3407,07_Distance,reports/tables/distance_per_seed_summary.csv,boundary_input_base,D2_R34UNet_Distance_GlaS_seed2025,D2_Distance,GlaS,resnet34_unet_distance,2025,testB,Boundary F1,boundary_f1,0.7196367803585112,20,experiments/D2_R34UNet_Distance_GlaS_seed2025/checkpoints/best.ckpt,1b85a02fb91f8c54c7bc81593271ebdaecd173f880a73c56dd0f315b260b1c0f,notes/independent_metric_check_D2_R34UNet_Distance_GlaS_seed2025.json,screening_only,single_seed,pass
